uid,day,steps_total
HS022,9/7/2017,31532
HS022,9/8/2017,18332
HS022,9/9/2017,16886
HS022,9/10/2017,25898
HS022,9/11/2017,16736
HS022,9/12/2017,19938
HS022,9/13/2017,24740
HS022,9/14/2017,15676
HS022,9/15/2017,20204
HS022,9/16/2017,23154
HS022,9/17/2017,14142
HS022,9/18/2017,23274
HS022,9/19/2017,18332
HS022,9/20/2017,17394
HS022,9/21/2017,16436
HS022,9/22/2017,23812
HS022,9/23/2017,19720
HS022,9/24/2017,16328
HS022,9/25/2017,20264
HS022,9/26/2017,11488
HS022,9/27/2017,13034
HS022,9/28/2017,15312
HS022,9/29/2017,19112
HS022,9/30/2017,15460
HS022,10/1/2017,13566
HS022,10/2/2017,25930
HS022,10/3/2017,22428
HS022,10/4/2017,25934
HS022,10/5/2017,13398
HS022,10/6/2017,27550
HS022,10/7/2017,11968
HS022,10/8/2017,21802
HS022,10/9/2017,18424
HS022,10/10/2017,13792
HS022,10/11/2017,20146
HS022,10/12/2017,29570
HS022,10/13/2017,10586
HS022,10/14/2017,26222
HS022,10/15/2017,28770
HS022,10/16/2017,17570
HS022,10/17/2017,24112
HS022,10/18/2017,17824
HS022,10/19/2017,17062
HS022,10/20/2017,22380
HS022,10/21/2017,9442
HS022,10/22/2017,13572
HS022,10/23/2017,22822
HS022,10/24/2017,9446
HS022,10/28/2017,10532
HS022,10/29/2017,15322
HS022,10/30/2017,15808
HS022,10/31/2017,16424
HS022,11/1/2017,16402
HS022,11/2/2017,13920
HS022,11/3/2017,17678
HS022,11/4/2017,22220
HS022,11/5/2017,17464
HS022,11/6/2017,21990
HS022,11/7/2017,15754
HS022,11/8/2017,19108
HS022,11/9/2017,17266
HS022,11/11/2017,18256
HS022,11/12/2017,8446
HS022,11/13/2017,17842
HS022,11/14/2017,20588
HS022,11/15/2017,18158
HS022,11/16/2017,16026
HS022,11/17/2017,12030
HS022,11/18/2017,10792
HS022,11/19/2017,7998
HS022,11/20/2017,498
HS022,11/21/2017,228
HS022,11/22/2017,10886
HS022,11/24/2017,4768
HS022,11/25/2017,138
HS022,11/26/2017,790
HS022,11/27/2017,166
HS022,11/28/2017,292
HS022,11/29/2017,272
HS022,11/30/2017,152
HS022,12/1/2017,448
HS022,12/2/2017,17950
HS022,12/3/2017,2746
HS022,12/4/2017,548
HS022,12/5/2017,3826
HS022,12/6/2017,2770
HS022,12/7/2017,2108
HS022,12/8/2017,692
HS022,12/9/2017,1298
HS022,12/10/2017,138
HS022,12/11/2017,4012
HS022,12/12/2017,2068
HS022,12/13/2017,1638
HS022,12/14/2017,16190
HS022,12/15/2017,3656
HS022,12/16/2017,5588
HS022,12/17/2017,3730
HS022,12/18/2017,310
HS022,12/19/2017,2534
HS022,12/20/2017,778
HS022,12/21/2017,2380
HS022,12/22/2017,484
HS022,12/23/2017,1268
HS022,12/24/2017,770
HS022,12/25/2017,104
HS022,12/26/2017,64
HS022,12/27/2017,2130
HS022,12/28/2017,1460
HS022,12/29/2017,1974
HS022,12/30/2017,1446
HS022,12/31/2017,10838
HS022,1/1/2018,14140
HS022,1/2/2018,19926
HS022,1/3/2018,13332
HS022,1/4/2018,13822
HS022,1/5/2018,16278
